V_in, V_2x, V_current
1.58E-02,3.68E-02,7.02E-02
4.87E-02,1.03E-01,2.12E-01
1.07E-01,2.19E-01,4.63E-01
1.55E-01,3.14E-01,6.69E-01
2.05E-01,4.14E-01,8.85E-01
2.55E-01,5.16E-01,1.10E+00
3.02E-01,6.63E-01,1.31E+00
3.65E-01,7.72E-01,1.58E+00
4.00E-01,8.05E-01,1.73E+00
4.44E-01,8.91E-01,1.92E+00
5.07E-01,1.02E+00,2.19E+00
5.48E-01,1.10E+00,2.36E+00
6.06E-01,1.22E+00,2.62E+00
6.56E-01,1.32E+00,2.83E+00
7.05E-01,1.42E+00,3.05E+00
7.47E-01,1.50E+00,3.23E+00
