V_in, V_2x, V_current
1.75E-02,4.02E-02,7.77E-02
6.32E-02,1.32E-01,2.75E-01
1.01E-01,2.06E-01,4.37E-01
1.46E-01,2.98E-01,6.35E-01
2.05E-01,4.14E-01,8.87E-01
2.52E-01,5.10E-01,1.09E+00
3.08E-01,6.22E-01,1.34E+00
3.48E-01,7.01E-01,1.51E+00
3.88E-01,7.80E-01,1.68E+00
4.45E-01,8.95E-01,1.93E+00
5.20E-01,1.05E+00,2.25E+00
5.41E-01,1.09E+00,2.34E+00
5.98E-01,1.20E+00,2.59E+00
6.49E-01,1.30E+00,2.81E+00
6.99E-01,1.40E+00,3.03E+00
7.24E-01,1.45E+00,3.13E+00
