V_in,V_2x,V_current
1.72E-02,3.92E-02,7.65E-02
4.04E-02,8.57E-02,1.77E-01
1.05E-01,2.15E-01,4.55E-01
1.55E-01,3.15E-01,6.70E-01
2.05E-01,4.15E-01,8.85E-01
2.50E-01,5.06E-01,1.08E+00
2.94E-01,5.94E-01,1.27E+00
3.46E-01,6.98E-01,1.49E+00
4.00E-01,8.06E-01,1.73E+00
4.42E-01,8.89E-01,1.91E+00
5.06E-01,1.02E+00,2.18E+00
5.50E-01,1.11E+00,2.37E+00
5.95E-01,1.20E+00,2.57E+00
6.56E-01,1.32E+00,2.83E+00
6.99E-01,1.41E+00,3.02E+00
7.45E-01,1.50E+00,3.22E+00
